"","logFC","logCPM","PValue","FDR"
"FBgn0039155",-4.60746589845923,4.24895986887503,1.27159914723666e-96,9.1542422609567e-93
"FBgn0025111",2.93870418997146,5.24027962849548,6.76911193444295e-58,2.43654184080274e-54
"FBgn0039827",-4.01851714716874,2.77483827156724,1.61660572863369e-55,3.87931488014464e-52
"FBgn0003360",-3.1739556237181,6.79822799480066,1.57328205541518e-54,2.83151437923348e-51
"FBgn0000071",2.71462524345535,3.1158571697452,1.84657464034216e-40,2.65869816716464e-37
"FBgn0034736",-3.51247905247455,2.50757707888848,4.45993207162334e-40,5.35117516393607e-37
"FBgn0035085",-2.52627279062812,3.96401905336702,2.56383047129947e-39,2.63671650898355e-36
"FBgn0264475",-2.54650678328332,4.09250788705196,7.19723598281818e-39,6.47661273003851e-36
"FBgn0029167",-2.19748713970713,6.56109818748622,1.41739868891352e-36,1.13376146238761e-33
"FBgn0029896",-2.41070165715543,3.62863331141731,7.30110953333694e-35,5.25606875304926e-32
"FBgn0034434",-3.50664959220693,1.5528650478367,2.37792996618363e-31,1.55624707514145e-28
"FBgn0261673",3.33452186837655,0.786227585647549,5.69144034755007e-29,3.41438992183441e-26
"FBgn0038832",-2.62909551543226,2.94779647523162,7.64231270950761e-29,4.23207763044195e-26
"FBgn0085359",-4.59259940399262,0.802420041902154,2.37601655315582e-28,1.22178165472634e-25
"FBgn0035189",3.04508204354246,2.44893444000962,1.67334302807857e-27,8.03093097275843e-25
"FBgn0024288",-4.43179416458776,0.582207467044561,8.05090508864757e-26,3.62240410832336e-23
"FBgn0262733",2.11590771241221,3.30391528924022,9.52901132282054e-26,4.03525603017559e-23
"FBgn0051092",2.27199774949249,1.94993511056972,4.8875841202605e-25,1.95476211565308e-22
"FBgn0032405",2.5626405110285,1.10261196214545,7.63770391299982e-23,2.89388581419398e-20
"FBgn0011260",2.22638312711669,2.37884831116114,1.08059708978832e-22,3.88960922469305e-20
"FBgn0034897",-1.91434718094381,4.50308714940451,2.47677543252712e-21,8.49062206607748e-19
"FBgn0037290",2.85475614724207,0.856729529523,1.37087653415306e-20,4.48588189516721e-18
"FBgn0040091",-1.57535556062831,4.82902486394654,7.45460436642299e-20,2.3332911666904e-17
"FBgn0052407",-2.11739910168344,2.18761394931989,1.25602334453028e-19,3.67359982268664e-17
"FBgn0037754",-2.34044704056187,2.82818179954684,1.27573267908274e-19,3.67359982268664e-17
"FBgn0026562",-2.33624707355874,10.1386438155086,3.48562560434523e-19,9.65116104833896e-17
"FBgn0001226",1.71473311761135,4.97751384568963,1.5823386322134e-18,4.21898363455715e-16
"FBgn0001224",1.48616477192953,3.92221373454459,8.51828591743205e-18,2.19011215427119e-15
"FBgn0016715",-2.12986285730728,1.91736699959007,3.57745723522516e-17,8.88072918496067e-15
"FBgn0261552",-1.86803387578571,7.03470346640004,7.85554787906414e-17,1.88506963937943e-14
"FBgn0040827",-1.91754658255202,2.43078077836332,8.37181566831855e-17,1.94415164503952e-14
"FBgn0040099",-1.74081019186765,4.49065966332818,9.45358089683075e-17,2.12676027738389e-14
"FBgn0024315",-2.3198249918039,1.12356822483247,1.74195306250695e-16,3.80009699908714e-14
"FBgn0261284",2.39461006398009,0.418012132870123,8.88387733189649e-16,1.8810303797742e-13
"FBgn0023479",-1.50413843070675,6.29202765463849,1.30919621223515e-15,2.69282958053738e-13
"FBgn0050463",2.67710944336175,0.200107647823124,2.3399282555477e-15,4.67920653102441e-13
"FBgn0260011",2.47394823738525,1.17579103311242,4.67026273361779e-15,9.08681659981472e-13
"FBgn0034010",-1.42529037500738,3.75164954634708,8.823112967752e-15,1.67151553302228e-12
"FBgn0261584",-2.26267847696546,2.23396550731933,1.46227343545843e-14,2.69920678509365e-12
"FBgn0001225",1.35809052673364,3.42358840577872,2.9846855856101e-14,5.37168788270178e-12
"FBgn0037646",-2.83385256268355,0.229970905122016,3.09744931153122e-14,5.43866770578372e-12
"FBgn0063649",-1.23078553576409,3.78292397639897,6.99719025013202e-14,1.1993517288262e-11
"FBgn0261362",1.52659418287079,7.23233092768094,7.76485829023834e-14,1.29998174026572e-11
"FBgn0037153",1.74142477335441,1.75589422672354,1.0614843562515e-13,1.73673315469422e-11
"FBgn0030041",-2.84587130073227,1.12926530444905,1.10390071846377e-13,1.76599583827126e-11
"FBgn0051642",2.0054143308462,1.49851910351694,1.20994525162995e-13,1.89356431880087e-11
"FBgn0038198",2.36950495705969,0.707978467709034,2.19646754884351e-13,3.36433401789882e-11
"FBgn0086910",1.82651941422989,2.04982895416066,3.57082242201205e-13,5.35548971168016e-11
"FBgn0039109",-1.26511005517751,3.62154002337387,5.82933864336665e-13,8.56436916195848e-11
"FBgn0027279",-1.18138801147711,6.25401340835465,7.86099900900934e-13,1.13182663731716e-10
"FBgn0003748",1.10018315429424,4.78720151857732,1.35002765180056e-12,1.90565667947298e-10
"FBgn0002868",-2.31643597220511,1.50892423703142,1.90913667194649e-12,2.64305286564284e-10
"FBgn0034438",1.7998694385669,1.0147078354051,2.799003743292e-12,3.80189206565267e-10
"FBgn0001137",-1.24677443005677,3.62293105136348,5.98825851847463e-12,7.98323575453682e-10
"FBgn0063498",-1.37668730256417,3.16614126960061,6.73155303817733e-12,8.81099096760701e-10
"FBgn0033913",-1.15722293900715,7.038701824325,7.80299426170501e-12,1.00310278017883e-09
"FBgn0034389",-1.93499795991248,1.53218730519073,1.15822647574689e-11,1.46281971910559e-09
"FBgn0000406",-2.00417640438674,2.75606585972079,1.78017849159996e-11,2.20956982086692e-09
"FBgn0033775",1.95329923645531,0.379451790898202,2.03074243523399e-11,2.47784996461856e-09
"FBgn0030598",2.05642466372099,0.0405445696530442,2.30046298894795e-11,2.76017217623938e-09
"FBgn0053307",-1.48771319098577,4.73414183455887,3.49123263906413e-11,4.12022684731519e-09
"FBgn0036985",-1.34470173220901,5.61319153882151,3.64213785074141e-11,4.22899199798184e-09
"FBgn0003447",2.13670424539297,0.042139896772414,4.44327490284132e-11,5.07732317865947e-09
"FBgn0032004",-1.18658607590068,4.61975071314934,4.79685507799253e-11,5.39571245413566e-09
"FBgn0039419",-1.11688424243818,5.22941185045199,5.55918674746119e-11,6.15701313768817e-09
"FBgn0031150",1.23788981111705,4.41404412987,7.0649262342347e-11,7.70612181215994e-09
"FBgn0024984",1.54489419089392,1.60792170256471,7.78924327167654e-11,8.36936750937305e-09
"FBgn0032598",1.11777806745048,3.05250330764552,9.35427989259862e-11,9.9031560215908e-09
"FBgn0038149",1.06359184925222,4.70845661419327,9.95308136675531e-11,1.03843815593147e-08
"FBgn0034885",1.63877515900455,2.0307842680791,1.08473075091014e-10,1.11556809654315e-08
"FBgn0037223",-2.52544399688659,-0.500975662260979,1.25126556513081e-10,1.26871278920799e-08
"FBgn0035968",1.16633255894898,2.87561598698029,1.38421324549944e-10,1.38402099365979e-08
"FBgn0039257",-1.03806349991203,3.84358722744326,1.84039100513782e-10,1.81492806109414e-08
"FBgn0000116",1.33964774741271,4.04814707135815,2.09214927218353e-10,2.03532197438503e-08
"FBgn0031322",-1.42322935410713,3.33475852420718,3.09632816856645e-10,2.97206219806798e-08
"FBgn0039593",1.90457635957923,0.237744047327797,3.56195838611273e-10,3.37401821337178e-08
"FBgn0035727",1.61031245794742,0.794419464000191,3.81428851477854e-10,3.56611208024555e-08
"FBgn0038528",1.36418717282356,2.01506380630309,4.16839103829746e-10,3.84721116470557e-08
"FBgn0031548",-1.97351652077684,0.490988794040038,4.82609806443577e-10,4.39785822352824e-08
"FBgn0029002",1.45646505086593,5.38333649607493,6.91714830509989e-10,6.22456883105176e-08
"FBgn0031703",-1.82954720622117,1.23712302055057,7.01471958968016e-10,6.23444028717376e-08
"FBgn0033367",1.47548805693886,8.60065471786723,8.13590153548383e-10,7.14272623828635e-08
"FBgn0052625",1.56316031264318,2.0072611736675,9.66190701846827e-10,8.38024923204254e-08
"FBgn0039640",-1.75232545538279,0.925219207791728,1.00004025205017e-09,8.57058306489187e-08
"FBgn0262057",-1.00771353395985,4.20784542543792,1.03237882571466e-09,8.743641372141e-08
"FBgn0039464",1.13454150256655,4.42676825808751,1.26599845241607e-09,1.05975847197015e-07
"FBgn0039479",1.59525424874503,2.10320782640537,1.38363144835155e-09,1.14491526398653e-07
"FBgn0031912",-1.05947587687116,5.05861631227113,2.00210362064645e-09,1.63785726875384e-07
"FBgn0034718",1.41078828939684,3.67500494964946,3.04701899573197e-09,2.46466176969376e-07
"FBgn0035344",-1.56568474509075,1.03786393639335,3.2033488155802e-09,2.56232312481799e-07
"FBgn0050147",-0.95379813587152,4.63143631560393,3.24927131763593e-09,2.57049496875396e-07
"FBgn0033724",1.45351879238695,2.0015398885145,3.75299443610196e-09,2.93671814624978e-07
"FBgn0261596",-1.04380691754515,8.71102421327538,4.22317524237034e-09,3.23252784538611e-07
"FBgn0003137",0.944315212405743,6.84747480531461,4.22349549248708e-09,3.23252784538611e-07
"FBgn0031547",-1.3037057074902,2.60094417641613,4.26573337007474e-09,3.23252784538611e-07
"FBgn0040271",0.937025712918158,4.8457978713652,4.56487878320232e-09,3.42318357919516e-07
"FBgn0037239",-0.94370220364803,4.30453409752726,5.10873979108481e-09,3.79152760371336e-07
"FBgn0259715",-1.78836684185507,4.3357304468012,5.25270915649256e-09,3.85859726710101e-07
"FBgn0038237",-2.59587674190444,-0.342023393231683,7.72875313824285e-09,5.62013069113235e-07
"FBgn0027515",0.948485791485802,3.51848025013051,9.23587964393306e-09,6.64890975566741e-07
"FBgn0034391",1.64089098872642,0.722204964513031,1.18225779550912e-08,8.42680581175261e-07
"FBgn0001258",0.955083477823229,5.29376211719609,1.34874092603475e-08,9.51920188874915e-07
"FBgn0023549",-1.52836654918919,2.16111089658309,1.41421177783815e-08,9.88437921228822e-07
"FBgn0039113",0.936110320988903,3.61094212954161,2.19316571158887e-08,1.51813461132003e-06
"FBgn0030805",1.09413080283419,3.11582811710207,2.38902647665713e-08,1.63796205766235e-06
"FBgn0036821",-1.74936586670263,3.42127436646125,2.55298746805721e-08,1.72796213488627e-06
"FBgn0030237",-0.934652756228214,5.66018219877136,2.56830043662773e-08,1.72796213488627e-06
"FBgn0263041",-1.68632545314078,1.4176794794558,2.7498607730811e-08,1.83298589864915e-06
"FBgn0040388",-1.00664497516083,5.23301130857356,4.87635366854215e-08,3.2206302807188e-06
"FBgn0036299",0.973427847842133,4.04847226893173,5.0827725374123e-08,3.32644359062101e-06
